 #Elements linked-list linked-list2 
        50       4.65       5.50 
       100       3.81       5.44 
       500      26.30       5.58 
      1000      26.78       5.70 
      5000      37.59       5.63 
     10000      38.42       5.64 
     50000      38.59       5.66 
    100000      39.02       5.76 
    500000      70.38       7.63 
   1000000      70.29       8.16 
   5000000      69.84       8.35 
  10000000      69.29       8.93 
